location,date,total_cases,total_deaths,total_vaccinations,total_population,gdp
United States,2020-01-01,1000,10,5000,331002651,21433225
United States,2020-01-02,1200,12,5200,331002651,21433225
India,2020-01-01,2000,20,10000,1380004385,2713074
India,2020-01-02,2200,22,10200,1380004385,2713074
Brazil,2020-01-01,1500,15,7000,211049527,2055500
Brazil,2020-01-02,1700,17,7500,211049527,2055500
Russia,2020-01-01,1300,13,6000,145934462,1675800
Russia,2020-01-02,1400,14,6500,145934462,1675800
United Kingdom,2020-01-01,900,9,4000,67886011,2838930
United Kingdom,2020-01-02,950,9,4200,67886011,2838930
Turkey,2020-01-01,1100,11,5500,83929382,761000
Turkey,2020-01-02,1300,13,6000,83929382,761000
France,2020-01-01,800,8,3500,65273511,2715518
France,2020-01-02,850,9,3800,65273511,2715518
Italy,2020-01-01,700,7,3000,60246570,2000000
Italy,2020-01-02,750,8,3200,60246570,2000000
Germany,2020-01-01,600,6,2500,83783942,3845630
Germany,2020-01-02,650,7,2700,83783942,3845630
Spain,2020-01-01,500,5,2000,46719142,1500000
Spain,2020-01-02,550,6,2200,46719142,1500000
